Etapa 1,Etapa 2,,,Etapa 3,,,Etapa 4,Etapa 5
"O mestrado, embora não diretamente relacionado à área de engenharia de software, me ajudou a ampliar os horizontes conceituais sobre muitos temas e a ter uma visão prática e hands-on sobre como é construída a pesquisa científica",Educação formal,Conceitos,,Educação Formal,,,,"( 35 + 2 = 37 ) Educação Formal: (Mestrado, Graduação, Pós)."
A faculdade de Análise e Desenvolvimento de Sistemas. Por ter me permitido entrar na área através de um estágio.,Educação formal,Emprego,,Educação Formal,,,,"( 89 + 1 = 90 ) Cursos e Treinamentos: (Certificações, Cursos técnicos, Bootcamps)."
"Participação em eventos, pois permite entrar em contato com profissionais de outras empresas e trocar experiências ",Eventos,Network,,Aprendizado social e networking,,,,"( 26 + 4 = 30 ) Aprendizado Social e Networking: (Eventos, Mentorias, Comunidades, Troca entre pares)."
"Nenhum veio de empresas. E desacredito que qualquer conteúdo elaborado por empresas é de fato de boa qualidade ou essencial.

O melhor curso que fiz foi em DesignOps. Colocou-me como estrategista, para além de designer. Mas infelizmente as empresas não estão totalmente preparadas pra receber pessoas como nós.",Autodidata,Curso,,Aprendizado autodirigido,,,,"( 19 + 19 = 38 ) Aprendizado Prático e Aplicado: (Trabalho diário, Projetos reais, Solução de problemas)."
"Uma das experiências de aprendizado mais úteis que tive foi quando comecei a estudar cybersecurity sozinho. No início achei muito difícil, mas aprendi a pesquisar, testar soluções e lidar com erros. Isso me mostrou que a persistência e a prática constante são fundamentais para dominar qualquer assunto.",Autodidata,Atividade/Pratica diária,Persistência,Aprendizado autodirigido,,,,"( 5 ) Aprendizado Autodirigido: (Livros, Estudos solo, Manuais)."
Certificação de serviços em núvem. Relevante para a empresa atual e para o mercado de trabalho.,Certificado,,,,,,,( 4 + 14 = 18) Desenvolvimento de Liderança e Soft Skills: (Treinamentos de gestão e habilidades comportamentais).
"Treinamento em SQL, por me aprofundar em uma tecnologia que eu utilizo diariamente.",Treinamento,Atividade/Pratica diária,,Curso e Treinamentos,,,,
"minha pos graduação, porque me está me abrindo novas oportunidades e crescimento",Educação formal,Oportunidade,,Educação Formal,,,,
"Curso de aplicação/uso de IA, pois é um tópico atual e com diversas oportunidades de aplicação nas atividades cotidianas.",Curso,Oportunidade,Atividade/Pratica diária,Curso e Treinamentos,,,Atualização técnica contínua,
"Certificação Java, mudou meu entendimento da linguagem e o patamar das minhas soluções.",Certificado,Soluções,,Curso e Treinamentos,,,,
Uma residência em tecnologia onde após finalizar um curso tive a oportunidade de aplicar e aprender na prática implementações da cultura Devops em uma empresa real de Fortaleza ,Curso,Atividade/Pratica diária,,Curso e Treinamentos,,,,
Aplicar o que estudei em um curso da udemy em um projeto real e que funciona até os dias atuais ,Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
MBA em gestão feito presencialmente ,Educação formal,,,Educação Formal,,,,
Treinamento de Product Management ,Treinamento,,,Curso e Treinamentos,,,,
"Cursos no YouTube, udemy. ",Curso,Online,,Curso e Treinamentos,,,,
Curso de SCRUM Master. Porque consegui ver o todo do Scrum e kanban,Curso,Gestão,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
Curso que tem assunto direto com que trabalho ,Curso,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Trilha de estudos Analista de Dados,Curso,,,Curso e Treinamentos,,,,
Treinamento e estudos para práticas nas plataformas e tipos de linguagens necessários para a trabalhar na empresa. ,Treinamento,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Um workshop de um fornecedor que reuniu profissionais da área de diferentes empresas para um evento debatendo dificuldades e tendência da área,Workshop,network,Depate,Aprendizado social e networking,,,,
"Mestrado em engenharia de software. Porque ajudou no endosso do meu currículo/ experiência na área, a abrir oportunidades internas na empresa que trabalho.",Educação formal,Oportunidades,,Educação Formal,,,,
"Ensino superior, pois foi lá que aprendi o básico da vida profissional.",Educação formal,Emprego,,Educação Formal,,,,
Foi acerto o e com aplicação prática necessária ,Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
"A minha experiência mais recente foi com comunidades online de desenvolvimento, onde pude me especializar em determinados pontos da minha carreira.",Comunidade ,Online,,Aprendizado social e networking,,,,
Management 3.0 fundamental ,Curso,,,Curso e Treinamentos,,,,
"Geralmente as experiências de aprendizado úteis vem de forma pessoal, através de pesquisas, livros, artigos, palestras, etc.",Autodidata,,,Aprendizado social e networking,,,,
"Não participei de muitas, mas recentemente a empresa promoveu um curso de estrutura de dados, um conhecimento mais tecnico, é útil porém um curso que eu já tinha visto na faculdade.",Curso,Educação formal,,Curso e Treinamentos,Educação Formal,,,
"Foi um curso de inglês, não necessariamente ligada a área ",Curso,,,Curso e Treinamentos,,,,
"Clubo do livro. É uma experiência de aprendizado muito enriquecedora, porque você necessáriamente tem que ler capítulos de um livro previamente para que possa discutir essa capítulo junto de pessoas diversas, isso traz uma riqueza enorme de discussões e aprendizado",network,Discução,clube,Aprendizado social e networking,,,,
uma preparação de trabalho. Foi completa feita por funcionários internos e dedicados a ouvir e tirar duvidas. Mas houve apenas em uma das empresa que trabalhei.,Treinamento,,,Curso e Treinamentos,,,,
"Mestrado, porque me abriu a mente de diversos assunto e me conectou com pessoas muito boas.",Educação formal,network,,Educação Formal,,,,
Foi estudar databricks e azure. Isso porque são ferramentas fortes no meu dia a dia e além de serem ferramentas me impulsionam a saber sobre linguagens que programação e assuntos atrelados.,Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
Um curso de curta duração (40h) com foco em Kubernetes,Curso,,,Curso e Treinamentos,,,,
"Nas áreas de atuações onde tenho perspectiva de futuro, onde estava tentando migrar e por ter tido incentivo financeiro foi fundamental para isso ",Oportunidades,Incentivo financeiro,,Aprendizado prático e aplicado,,,,
"Hands on, pois você de fato tem a oportunidade de colocar em prática o que aprendeu, mesmo que seja naquele momento e isso ajuda a fixar os conhecimentos.",Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
"Um bootcamp sobre liderança técnica, pois me deu muitas ferramentas técnica e de soft skills que me ajudaram muito nos problemas do dia a dia durante um bom tempo, além de ter me fornecido um bom networking com pessoas da área e no mesmo momento em que eu estava",Bootcamp,soft skill,Atividade/Pratica diária,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Cursos voltados para cloud onde haveria uma migração subsequente.,Curso,,,Curso e Treinamentos,,,,
"A experiência de aprendizado mais útil que eu já tive foi minha graduação, porque me proporcionou uma base sólida de conhecimentos na minha área, me ensinou a pensar de forma crítica e me preparou para aplicar o que aprendi na prática.",Educação formal,,,Educação Formal,,,,
Segurança ,Curso,,,Curso e Treinamentos,,,,
Congressos,Congressos,,,Aprendizado social e networking,,,,
Curso de segurança digital,Curso,,,,,,,
Integração de dados entre diversas plataformas. Manter a consistência de dados é desafiador. Há muitas possibilidades e precisa de calma para integrar corretamente.,,,,,,,,
"ABAP para funcionais, sou analista funcional de SAP e dependia de outros colegas para entender o código ABAP e ter tido um aprendizado mesmo que breve me ajuda a seguir com mais independência nas demandas",Curso,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
"Oficina Lean e Ágil. Foi uma experiência presencial no centro de educação corporativa da empresa autoglass. Essa experiência foi extremamente positiva, acredito que a didática do instrutor e o domínio do tema foi fundamental. Fizemos também diversas atividades práticas para aplicar os métodos. Além disso algumas atividades eram bastante lúdicas e divertidas. A carga horária também era adequada e permitiu que a gente se aprofundasse no tema sem precisar correr. ",Curso,Instrutor,Atividade/Pratica diária,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Evento presencial pelo network e envolvimento real.,Evento,network,,Aprendizado social e networking,,,,
Não lembro de nenhuma,,,,,,,,
Graduação ,Educação formal,,,Educação Formal,,,,
"O treinamento do Empretec, prático, teórico e muito incentivador.",Treinamento ,Atividade/Pratica diária,Teórico,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Usar a IA como ferramenta de produtividade. Fiquei mais produtivo.,,,,,,,,
As voltadas para a área de Qualidade visto que é a minha área de atuação.,Area de atuação,,,Aprendizado prático e aplicado,,,,
Palestra sobre testes em softwares. Foram visto conceitos facilmente aplicáveis no dia a dia.,,,,,,,,
"um programa de ensino na minha empresa, onde lideres de diversas areas dão cursos sobre assuntos importantes para a suas tecnologias, e sobre tecnologias que vão ser importantes no futuro",Treinamento,,,Curso e Treinamentos,,,,
Automação web com Robot pois irá me destacar na minha função hoje.,Area de atuação,,,Aprendizado prático e aplicado,,,,
"Reuniões de capítulo com colegas da área e discussões sobre possíveis soluções para resoluções de problemas do produto. Ambas as experiências me permitiram expandir conhecimento, trocar experiências e evoluir profissionalmente",Reuniões,Discussão,,Aprendizado social e networking,,,,
