Etapa 1,Codigo_1,Codigo_2,Codigo_3,Codigo_4,Codigo_5,Tema_1,Tema_2,Tema_3
Mais interação com os instrutores e turmas menores,Didatica / Instrutor / Material,Interacao / Mentoria,,,,Qualidade pedagogica didatica e organizacao,Interacao mentoria e troca social,
Foco no prático. Atividades com um objetivo claro e concreto a ser implementado seja um software ou uma documentação,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Cursos bem feitos, com conteúdos adequados",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Prefiro que a empresa pague uma escola e forneça acesso aos colaboradores do que crie algo local por conta própria.,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
"Eu sugeriria que os processos de aprendizado fossem mais baseados em prática real. Muitas vezes recebemos treinamentos teóricos, mas só fixamos quando aplicamos no dia a dia. Se os programas de capacitação incluíssem simulações, laboratórios práticos ou desafios reais de projeto.",Pratica / Hands-on,Alinhamento / Personalizacao,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Tenho alguns pensamentos sobre processos de aprendizados quando são indicados pela empresa atual de um funcionário. O trabalho consome muita energia, por isso deve haver incentivos concretos para dedicar-se a aprender algo novo. O conhecimento que se obtém em uma experiência de aprendizado indicada pela empresa nem sempre esta alinhado aos planos de carreira do funcionário, mas provavelmente se trata de algo na mesma indústria. Mesmo estando na mesma indústria, promessas rasas de 'visibilidade' dentro da empresa para ganhar um aumento ou promoção (que muitas vezes não se concretizam) não são o suficiente para engajar as pessoas envolvidas no treinamento. Quando eu estive nesse cenário, acabei vendo que a falta de incentivos causou uma desmotivação geral. Quem fez, ganhou promessas. Quem não fez ou parou no caminho, se sente desvalorizado na empresa, visto que isso não é uma 'boa' visibilidade para o funcionário. O resultado é um treinamento que agregou conhecimento para quem foi até o final, mas que acabou desmotivando os funcionários da empresa.",Alinhamento / Personalizacao,Incentivo / Reconhecimento,,,,Aplicabilidade prática e alinhamento às necessidades,Incentivos reconhecimento e apoio institucional,
acredito que a inclusão de casos reais durante o processo é uma otima melhoria,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Focar em problemas comuns/recorrentes em projetos e/ou na organização.,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Estar mais conectado com o dia a dia do colaborador, não somente com a estratégia da empresa.",Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Inclusão de projetos práticos e desafios, com feedbacks e orientações",Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Ter aplicação mais práticas com coisas que realmente importam para o mercado e o dia a dia de quem está aprendendo,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Focar mais em situações reais com exemplos que se aplicam no dia a dia de forma objetiva,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Cursos voltados para a área de atuação do dev,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Ter um curso de hard skill e um de soft skill por ano,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Os exercícios poderiam ser mais práticos dentro do escopo de trabalho da empresa.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Focar mais no aprendizado dos colaboradores, facilitando acesso a cursos e estudos voltados as plataformas e linguagens usadas.",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Fóruns de debate com mediadores que tivessem um roteiro para direcionar mas que não parecesse algo tão rígido,Interacao / Mentoria,,,,,Interacao mentoria e troca social,,
"Melhora na grade curricular do mestrado, em formato de trilha da engenharia de software, com maior aprofundamento em pesquisa sobre o tema. Grande parte das aulas são desconexas e superficiais sobre temas que não elevam o nível de conhecimento técnico e de pesquisa dos alunos, que em sua maioria já atua e possui grande experiência na área.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Que fossem executados com o objetivo de alcançar melhorias internas na empresa, e não apenas para cumprir métricas de avaliação anual.",Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Nenhuma,,,,,,,,
